Date,Classification,AvgPnL,TotalPnL,TotalVolume,WinRate,Sentiment score,RollingPnL
2025-01-12,Greed,6.911037,6.911037,2500.01,1.0,62,229.04755885714286
2025-01-13,Greed,293.242017,293.242017,11198.23,1.0,61,78.86022042857142
2025-01-14,Greed,8.301885,16.60377,869.65,0.5,63,76.7380392857143
2025-01-16,Extreme Greed,109.5643386,547.821693,100776.07,0.4,75,136.37868857142857
2025-01-17,Extreme Greed,19.14037,19.14037,344.83,1.0,75,139.12412157142856
2025-01-18,Extreme Greed,4.42280075,17.691203,4004.9,0.75,77,141.86656214285716
2025-01-19,Extreme Greed,0.7402815555555553,13.325067999999995,405819.15,0.2222222222222222,77,130.67645114285716
2025-01-20,Extreme Greed,393.599647923077,5116.7954230000005,135071.43,0.5384615384615384,76,860.6599348571428
2025-01-21,Extreme Greed,40.8807614,204.403807,102131.84,0.6,76,847.9687620000001
2025-01-22,Extreme Greed,5.79979825,23.199193,3481.79,0.25,84,848.9109652857143
2025-01-23,Extreme Greed,67.364908,471.554356,12800.93,0.5714285714285714,75,838.0156314285714
2025-01-24,Extreme Greed,9.8883792975,79.10703438,6562.25,0.625,75,846.5822977685714
2025-01-25,Extreme Greed,-0.03418511,-0.20511066,24554.16,0.0,75,844.0256815314286
2025-01-26,Greed,74.72338711538461,1942.808065,51666.670000000006,0.34615384615384615,73,1119.6661096742857
2025-01-27,Greed,9.157317364285715,64.10122155,4585.8,0.42857142857142855,71,397.8526523242857
2025-01-28,Greed,20.51572536842105,389.79878199999996,16933.25,0.631578947368421,72,424.3376487528571
2025-01-29,Greed,4.2567325,8.513465,1407.23,1.0,72,422.23968761
2025-01-30,Greed,18.639742428571427,260.956394,27724.39,0.35714285714285715,70,392.1542644671428
2025-01-31,Extreme Greed,12.254241777777777,110.28817599999999,5077.95,0.4444444444444444,76,396.60871327
2025-02-01,Greed,6.6801272225,26.72050889,17961.07,0.25,68,400.45523034857143
2025-02-02,Greed,29.234605954761907,613.9267250500001,22619.87,0.14285714285714285,60,210.61503892714285
2025-02-03,Fear,81.48606759459459,3014.984501,842056.33,0.40540540540540543,44,632.1697931342858
2025-02-04,Greed,141.80334342424246,4679.510333000001,333981.4,0.21212121212121213,72,1244.9857289914287
2025-02-05,Neutral,-1.4514246342857142,-20.319944879999998,212253.25,0.2857142857142857,54,1240.8666704371428
2025-02-06,Neutral,13.596972002941177,231.14852405000002,22875.66,0.47058823529411764,49,1236.6084033014286
2025-02-07,Fear,14.410185724137932,417.89538600000003,69731.09,0.10344827586206896,44,1280.5522904442857
2025-02-08,Fear,-0.213909,-0.213909,2139.09,0.0,44,1276.7045164600001
2025-02-09,Neutral,42.273468300000005,422.734683,30521.96,0.6,46,1249.3913675957144
2025-02-10,Fear,0.6615231428571429,4.630662,23140.21,0.14285714285714285,43,819.340819167143
2025-02-11,Neutral,-0.026626977499999996,-0.10650790999999998,3920.15,0.0,47,150.82412760857144
2025-02-12,Neutral,-41.93452318181818,-461.27975499999997,42420.27,0.2727272727272727,46,87.82986902000003
2025-02-13,Neutral,-0.020823499999999998,-0.041646999999999997,440.80999999999995,0.0,50,54.80270172714287
2025-02-14,Neutral,317.4796242670667,23810.97182003,135311.99,0.9066666666666666,48,3396.670763731429
2025-02-15,Neutral,1.0549419471428574,7.384593630000001,20895.48,0.14285714285714285,50,3397.7562641071427
2025-02-16,Neutral,-0.05527399399999999,-0.27636996999999996,4627.43,0.0,54,3337.326113682858
2025-02-17,Neutral,-0.24016618217391303,-11.04764438,198136.31,0.043478260869565216,51,3335.086355628572
2025-02-18,Neutral,64.77016250166666,777.24195002,13230.03,0.4166666666666667,47,3446.1361353328575
2025-02-19,Fear,6.9522942,34.761471,26634.04,0.6,44,3516.999167618572
2025-02-20,Neutral,26.53700627272727,291.907069,50734.44,0.45454545454545453,49,3558.706127047143
2025-02-21,Greed,52.70892277272728,1159.596301,50553.32,0.5909090909090909,55,322.79533861428575
2025-02-22,Neutral,-0.28250600000000003,-1.9775420000000001,10504.880000000001,0.0,49,321.45789066714286
2025-02-24,Neutral,49.9389483865,1997.55793546,177024.17,0.4,49,606.8627914428571
2025-02-25,Fear,1060.5807481264062,67877.16788009,1023705.82,0.6875,25,10305.17929493857
2025-02-26,Extreme Fear,1648.6789022,8243.394511,26215.85,1.0,21,11371.772517935713
2025-02-27,Extreme Fear,338.58443900000003,2031.506634,18186.12,0.6666666666666666,10,11657.021826935714
2025-02-28,Extreme Fear,6.38669725,51.093578,8946.11,0.375,16,11622.619899649999
2025-03-01,Extreme Fear,-0.0652096,-0.326048,3396.3900000000003,0.0,20,11456.916706935712
2025-03-02,Fear,150.0311724,1500.3117240000001,4763.64,0.8,26,11671.52945922143
2025-03-03,Fear,813.1873722499998,22769.246422999997,209188.71,0.6785714285714286,33,14638.91352887
2025-03-04,Extreme Fear,440.9300344437143,30865.10241106,240897.67,0.37142857142857144,15,9351.475604722857
2025-03-05,Extreme Fear,43.24712400052631,821.69535601,54460.39,0.5263157894736842,20,8291.232868295714
2025-03-06,Fear,34.169409333333334,102.508228,64318.75,0.6666666666666666,25,8015.661667438571
2025-03-07,Fear,11.150230555555554,100.35207499999999,23150.29,0.2222222222222222,34,8022.698595581428
2025-03-08,Fear,18.7997386,93.998693,3798.3199999999997,0.8,28,8036.173558581429
2025-03-09,Fear,7.4496315,59.597052,12762.17,0.375,27,7830.357176867142
2025-03-10,Extreme Fear,-13.001682857142859,-273.03534,253164.52,0.09523809523809523,20,4538.602639295715
2025-03-11,Extreme Fear,-15.774296076923077,-205.06584900000001,25522.18,0.15384615384615385,24,100.00717357285713
2025-03-12,Fear,10.727132,117.998452,11066.09,0.45454545454545453,34,-0.5209555714285747
2025-03-13,Neutral,13.464121714285714,94.248852,18127.28,0.5714285714285714,45,-1.7008664285714323
2025-03-14,Fear,3.209863125,51.35781,13392.0,0.9375,27,-8.700047142857144
2025-03-15,Neutral,1429.6959495000003,2859.3918990000006,3618.84,1.0,46,386.35612514285725
2025-03-16,Fear,-10.0270145,-40.108058,17990.95,0.25,30,372.11253800000014
2025-03-17,Fear,-0.8503441428571428,-5.952408999999999,20858.17,0.14285714285714285,32,410.26724242857154
2025-03-18,Fear,2.9500072142857143,82.600202,75735.14,0.07142857142857142,34,451.36239257142864
2025-03-19,Fear,11.81510888,295.377722,145310.77,0.16,32,476.7022882857144
2025-03-20,Neutral,40.25536811111111,362.298313,10923.5,1.0,49,514.9950684285715
2025-03-21,Fear,1.0225626,5.112813,1652.33,0.4,31,508.38864028571436
2025-03-22,Fear,57.82101920000001,289.10509600000006,14951.17,0.6,32,141.2048112857143
2025-03-24,Neutral,105.3247135,421.298854,25801.18,0.5,45,207.12008442857146
2025-03-25,Neutral,140.40620400000003,280.81240800000006,209250.15,0.5,46,248.0864868571429
2025-03-26,Neutral,-8.652579999999999,-77.87321999999999,19704.46,0.1111111111111111,47,225.16171228571434
2025-03-27,Fear,1.4983960211764704,25.47273236,21364.09,0.17647058823529413,40,186.60385662285717
2025-03-28,Fear,10.574610571428574,74.02227400000001,8068.5,0.8571428571428571,44,145.42156533714288
2025-03-29,Fear,99.31474522222223,893.832707,3213.23,0.3333333333333333,26,272.38155019428575
